"","date_id","calendar_date","year_num","month_num","day_num","week_num","week_num_year","year_week_num","day_name","day_name_abbrev","day_number","weekend_ind","season","event_name","event_type","holiday_ind"
"43",19800215,1980-02-15,1980,1,15,7,1980,"1980-07","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"44",19800216,1980-02-16,1980,1,16,7,1980,"1980-07","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"45",19800217,1980-02-17,1980,1,17,7,1980,"1980-07","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"46",19800218,1980-02-18,1980,1,18,7,1980,"1980-07","Monday","Mon",2,FALSE,"Winter","Presidents' Day","National holiday",TRUE
"47",19800219,1980-02-19,1980,1,19,7,1980,"1980-07","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"48",19800220,1980-02-20,1980,1,20,7,1980,"1980-07","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"49",19800221,1980-02-21,1980,1,21,7,1980,"1980-07","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"50",19800222,1980-02-22,1980,1,22,8,1980,"1980-08","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"51",19800223,1980-02-23,1980,1,23,8,1980,"1980-08","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"52",19800224,1980-02-24,1980,1,24,8,1980,"1980-08","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"53",19800225,1980-02-25,1980,1,25,8,1980,"1980-08","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"54",19800226,1980-02-26,1980,1,26,8,1980,"1980-08","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"55",19800227,1980-02-27,1980,1,27,8,1980,"1980-08","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"56",19800228,1980-02-28,1980,1,28,8,1980,"1980-08","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"57",19800229,1980-02-29,1980,1,29,9,1980,"1980-09","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"58",19800301,1980-03-01,1980,1,1,9,1980,"1980-09","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"59",19800302,1980-03-02,1980,1,2,9,1980,"1980-09","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"60",19800303,1980-03-03,1980,1,3,9,1980,"1980-09","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"61",19800304,1980-03-04,1980,1,4,9,1980,"1980-09","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"62",19800305,1980-03-05,1980,1,5,9,1980,"1980-09","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"63",19800306,1980-03-06,1980,1,6,9,1980,"1980-09","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"64",19800307,1980-03-07,1980,1,7,10,1980,"1980-10","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"65",19800308,1980-03-08,1980,1,8,10,1980,"1980-10","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"66",19800309,1980-03-09,1980,1,9,10,1980,"1980-10","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"67",19800310,1980-03-10,1980,1,10,10,1980,"1980-10","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
